,z,y,x,price,table,depth,carat,-
6968,3.92,6.13,6.1,4150.0,59.0,64.1,0.91,6969.0
6969,3.96,6.38,6.32,4150.0,60.0,62.4,1.01,6970.0
6970,3.73,6.61,6.63,4150.0,63.0,56.3,1.0,6971.0
6971,3.9,6.21,6.26,4150.0,58.0,62.6,0.95,6972.0
6972,3.65,5.84,5.87,4150.0,57.0,62.3,0.76,6973.0
6973,3.94,6.35,6.4,4150.0,59.0,61.8,1.0,6974.0
6974,3.56,5.85,5.89,4150.0,60.0,60.6,0.76,6975.0
6975,4.02,6.45,6.38,4151.0,59.0,62.7,1.02,6976.0
6976,3.83,6.02,6.12,4151.0,58.0,63.1,0.9,6977.0
6977,3.81,6.25,6.22,4152.0,58.0,61.1,0.9,6978.0
6978,4.09,6.57,6.51,4152.0,60.0,62.5,1.08,6979.0
6979,4.19,6.82,6.79,4153.0,56.0,61.6,1.18,6980.0
6980,3.97,6.5,6.45,4153.0,57.0,61.3,1.01,6981.0
6981,4.01,6.42,6.46,4153.0,59.0,62.3,1.03,6982.0
6982,4.03,6.5,6.56,4153.0,54.0,61.7,1.03,6983.0
6983,3.86,6.39,6.45,4154.0,59.0,60.1,1.01,6984.0
6984,4.03,6.63,6.58,4154.0,64.0,61.0,1.09,6985.0
6985,4.04,6.34,6.39,4154.0,58.0,63.5,1.01,6986.0
6986,3.84,6.26,6.32,4155.0,62.0,61.0,0.92,6987.0
6987,3.8,6.16,6.1,4155.0,57.0,62.0,0.9,6988.0
6988,3.8,6.17,6.12,4155.0,58.0,61.8,0.9,6989.0
6989,3.81,6.24,6.19,4155.0,59.0,61.3,0.9,6990.0
6990,3.84,6.25,6.18,4155.0,56.0,61.8,0.9,6991.0
6991,3.84,6.15,6.1,4155.0,59.0,62.7,0.9,6992.0
6992,4.04,6.41,6.37,4155.0,60.0,63.2,1.02,6993.0
6993,3.79,6.59,6.64,4155.0,61.0,57.3,1.0,6994.0
6994,4.05,6.52,6.57,4155.0,59.0,61.9,1.06,6995.0
6995,3.95,6.28,6.33,4155.0,59.0,62.6,1.0,6996.0
6996,4.02,6.28,6.33,4155.0,58.0,63.8,1.0,6997.0
6997,3.96,6.29,6.34,4155.0,57.0,62.7,1.0,6998.0
6998,3.99,6.3,6.39,4155.0,59.0,62.9,1.0,6999.0
6999,3.97,6.31,6.37,4155.0,58.0,62.6,1.0,7000.0
7000,4.02,6.37,6.44,4155.0,57.0,62.8,1.0,7001.0
7001,3.87,6.45,6.51,4155.0,64.0,59.7,1.0,7002.0
7002,3.78,6.5,6.62,4155.0,62.0,57.6,1.0,7003.0
7003,3.98,6.52,6.55,4155.0,60.0,60.9,1.06,7004.0
7004,3.95,6.32,6.34,4155.0,61.0,62.4,1.0,7005.0
7005,3.79,6.37,6.4,4155.0,62.0,59.4,1.0,7006.0
7006,4.06,6.43,6.47,4155.0,60.0,62.9,1.06,7007.0
7007,3.81,6.24,6.15,4156.0,61.0,61.5,0.9,7008.0
7008,3.82,6.18,6.11,4157.0,58.0,62.2,0.9,7009.0
7009,3.59,5.84,5.79,4157.0,57.0,61.7,0.74,7010.0
7010,3.85,6.23,6.17,4157.0,53.0,62.0,0.9,7011.0
7011,4.08,6.72,6.68,4157.0,56.0,60.9,1.1,7012.0
7012,4.05,6.84,6.93,4157.0,61.0,58.8,1.16,7013.0
7013,3.78,6.16,6.19,4158.0,59.0,61.2,0.9,7014.0
7014,3.87,6.09,6.16,4158.0,56.0,63.2,0.9,7015.0
7015,3.89,6.14,6.09,4158.0,57.0,63.6,0.92,7016.0
7016,3.87,6.16,6.11,4158.0,58.0,63.1,0.92,7017.0
7017,4.02,6.34,6.29,4158.0,58.0,63.7,1.0,7018.0
7018,4.07,6.48,6.44,4158.0,59.0,63.0,1.05,7019.0
7019,4.14,6.56,6.63,4158.0,57.0,62.8,1.1,7020.0
7020,4.09,6.67,6.69,4158.0,58.0,61.2,1.12,7021.0
7021,3.94,6.5,6.56,4158.0,62.0,60.3,1.04,7022.0
7022,4.54,6.66,6.73,4158.0,55.0,67.8,1.36,7023.0
7023,3.9,6.86,6.91,4158.0,62.0,56.7,1.12,7024.0
7024,3.86,6.11,6.16,4158.0,58.0,62.9,0.9,7025.0
7025,3.85,6.09,6.13,4158.0,60.0,63.0,0.9,7026.0
7026,3.76,6.26,6.29,4158.0,59.0,59.9,0.9,7027.0
7027,4.19,6.64,6.7,4158.0,54.0,62.8,1.12,7028.0
7028,3.73,6.04,6.01,4159.0,56.0,61.9,0.83,7029.0
7029,3.9,6.55,6.48,4159.0,58.0,59.9,1.02,7030.0
7030,3.86,6.27,6.33,4159.0,61.0,61.3,0.94,7031.0
7031,3.92,6.63,6.58,4160.0,58.0,59.3,1.03,7032.0
7032,3.85,6.27,6.19,4160.0,56.0,61.8,0.91,7033.0
7033,4.32,7.04,7.08,4160.0,59.0,61.2,1.32,7034.0
7034,3.86,6.09,6.06,4161.0,58.0,63.5,0.9,7035.0
7035,3.84,6.2,6.16,4161.0,56.0,62.1,0.9,7036.0
7036,3.84,6.23,6.18,4161.0,55.0,61.9,0.9,7037.0
7037,3.32,5.49,5.45,4161.0,58.0,60.7,0.59,7038.0
7038,4.04,6.44,6.38,4162.0,58.0,63.0,1.02,7039.0
7039,3.93,6.53,6.49,4162.0,60.0,60.4,1.02,7040.0
7040,3.99,6.44,6.41,4162.0,56.0,62.1,1.02,7041.0
7041,3.9,6.53,6.5,4162.0,62.0,59.9,1.02,7042.0
7042,4.02,6.61,6.55,4162.0,62.0,61.1,1.06,7043.0
7043,3.95,6.42,6.33,4162.0,59.0,62.0,1.02,7044.0
7044,3.91,6.52,6.48,4162.0,61.0,60.2,1.02,7045.0
7045,4.09,6.46,6.37,4162.0,53.0,63.8,1.02,7046.0
7046,3.94,6.59,6.56,4162.0,59.0,59.9,1.02,7047.0
7047,4.0,6.45,6.39,4162.0,59.0,62.3,1.03,7048.0
7048,3.91,6.23,6.2,4163.0,56.0,62.9,0.93,7049.0
7049,3.97,6.27,6.32,4163.0,59.0,63.1,1.0,7050.0
7050,2.77,4.45,4.42,579.0,55.0,62.5,0.33,7051.0
7051,2.76,4.43,4.41,579.0,56.0,62.4,0.33,7052.0
7052,2.72,4.45,4.41,579.0,60.0,61.4,0.33,7053.0
7053,2.76,4.46,4.44,579.0,55.0,62.0,0.33,7054.0
7054,2.75,4.47,4.45,579.0,54.0,61.7,0.33,7055.0
7055,2.77,4.45,4.39,579.0,56.0,62.7,0.33,7056.0
7056,2.74,4.46,4.4,579.0,59.0,61.9,0.33,7057.0
7057,2.76,4.43,4.41,579.0,56.0,62.4,0.33,7058.0
7058,2.7,4.47,4.43,579.0,57.0,60.7,0.33,7059.0
7059,2.71,4.46,4.42,579.0,58.0,61.0,0.33,7060.0
7060,2.73,4.5,4.46,579.0,56.0,60.9,0.33,7061.0
7061,2.7,4.44,4.41,579.0,59.0,61.0,0.33,7062.0
7062,2.75,4.45,4.42,579.0,58.0,62.0,0.33,7063.0
7063,2.78,4.45,4.42,579.0,54.0,62.7,0.33,7064.0
7064,2.67,4.51,4.49,579.0,61.0,59.3,0.33,7065.0
7065,2.79,4.4,4.36,579.0,56.0,63.7,0.33,7066.0
7066,2.74,4.46,4.41,579.0,56.0,61.8,0.33,7067.0
7067,2.77,4.44,4.41,579.0,58.0,62.6,0.33,7068.0
7068,2.74,4.48,4.45,579.0,58.0,61.4,0.33,7069.0
7069,2.68,4.56,4.51,579.0,58.0,59.1,0.33,7070.0
7070,2.7,4.46,4.42,579.0,62.0,60.8,0.33,7071.0
7071,2.76,4.44,4.41,579.0,57.0,62.4,0.33,7072.0
7072,2.75,4.41,4.39,579.0,57.0,62.5,0.33,7073.0
7073,2.72,4.47,4.43,579.0,59.0,61.1,0.33,7074.0
7074,2.71,4.47,4.45,579.0,58.0,60.8,0.33,7075.0
7075,2.7,4.52,4.48,579.0,61.0,60.0,0.33,7076.0
7076,2.75,4.43,4.41,579.0,59.0,62.2,0.33,7077.0
7077,2.75,4.45,4.43,579.0,58.0,61.9,0.33,7078.0
7078,2.76,4.46,4.43,579.0,59.0,62.1,0.33,7079.0
7079,2.74,4.46,4.43,579.0,55.0,61.6,0.33,7080.0
7080,4.01,6.62,6.55,4163.0,57.0,60.9,1.05,7081.0
7081,3.97,6.38,6.32,4163.0,54.0,62.5,1.0,7082.0
7082,4.04,6.57,6.55,4164.0,59.0,61.6,1.04,7083.0
7083,3.76,6.12,6.08,4164.0,54.0,61.6,0.85,7084.0
7084,3.89,6.18,6.14,4165.0,61.0,63.1,0.9,7085.0
7085,3.84,6.29,6.24,4165.0,57.0,61.3,0.9,7086.0
7086,3.73,6.26,6.21,4165.0,58.0,59.8,0.9,7087.0
7087,3.79,6.16,6.11,4165.0,59.0,61.8,0.9,7088.0
7088,3.83,6.26,6.22,4165.0,63.0,61.4,0.93,7089.0
7089,3.65,6.29,6.24,4165.0,61.0,58.3,0.9,7090.0
7090,3.82,6.18,6.25,4165.0,59.0,61.5,0.91,7091.0
7091,4.0,6.37,6.34,4166.0,58.0,62.9,1.01,7092.0
7092,3.96,6.44,6.37,4166.0,59.0,61.8,1.01,7093.0
7093,3.95,6.44,6.39,4166.0,59.0,61.6,1.01,7094.0
7094,4.03,6.38,6.28,4166.0,59.0,63.7,1.01,7095.0
7095,3.88,6.62,6.57,4166.0,58.0,58.8,1.01,7096.0
7096,4.1,6.08,6.19,4166.0,63.0,66.8,1.0,7097.0
7097,3.75,6.47,6.53,4166.0,59.0,57.8,1.0,7098.0
7098,3.56,5.74,5.7,4167.0,56.0,62.2,0.71,7099.0
7099,3.56,5.79,5.76,4167.0,54.0,61.6,0.71,7100.0
7100,4.1,6.82,6.86,4167.0,59.0,59.9,1.17,7101.0
7101,3.78,6.57,6.66,4167.0,61.0,57.1,1.02,7102.0
7102,4.03,6.55,6.59,4167.0,56.0,61.3,1.06,7103.0
7103,3.8,6.24,6.26,4167.0,56.0,60.8,0.9,7104.0
7104,4.09,6.44,6.48,4167.0,59.0,63.3,1.08,7105.0
7105,4.72,7.1,7.28,4167.0,54.0,65.6,1.51,7106.0
7106,4.01,6.36,6.3,4168.0,58.0,63.3,1.01,7107.0
7107,3.86,6.19,6.18,4168.0,58.0,62.4,0.92,7108.0
7108,3.89,6.25,6.21,4168.0,60.0,62.4,0.92,7109.0
7109,4.18,6.71,6.65,4168.0,55.0,62.6,1.11,7110.0
7110,4.05,6.89,6.93,4168.0,61.0,58.6,1.19,7111.0
7111,4.01,6.71,6.66,4170.0,61.0,60.0,1.11,7112.0
7112,3.65,6.0,5.96,4170.0,57.0,61.0,0.8,7113.0
7113,3.97,6.3,6.36,4170.0,59.0,62.7,1.0,7114.0
7114,3.52,5.73,5.7,4171.0,61.0,61.6,0.7,7115.0
7115,4.02,6.42,6.37,4171.0,55.0,62.9,1.01,7116.0
7116,3.89,6.21,6.26,4171.0,59.0,62.4,0.95,7117.0
7117,3.57,5.86,5.83,4171.0,56.0,61.1,0.73,7118.0
7118,3.78,6.58,6.56,4171.0,63.0,57.5,1.01,7119.0
7119,3.93,6.4,6.33,4171.0,58.0,61.7,1.01,7120.0
7120,3.99,6.36,6.42,4172.0,57.0,62.4,1.0,7121.0
7121,3.38,5.42,5.4,4172.0,55.0,62.5,0.6,7122.0
7122,3.97,6.47,6.43,4172.0,58.0,61.6,1.0,7123.0
7123,3.92,6.3,6.37,4172.0,60.0,61.9,0.97,7124.0
7124,3.85,6.47,6.5,4172.0,62.0,59.4,1.0,7125.0
7125,3.85,6.17,6.11,4173.0,59.0,62.7,0.9,7126.0
7126,4.2,6.67,6.6,4173.0,55.0,63.3,1.14,7127.0
7127,3.84,6.29,6.17,4173.0,57.0,61.6,0.9,7128.0
7128,3.7,6.13,6.07,4173.0,63.0,60.7,0.9,7129.0
7129,3.89,6.11,6.17,4173.0,57.0,63.4,0.92,7130.0
7130,3.9,6.17,6.2,4173.0,57.0,63.1,0.92,7131.0
7131,4.02,6.57,6.62,4173.0,60.0,61.0,1.08,7132.0
7132,3.88,6.19,6.21,4173.0,56.0,62.6,0.92,7133.0
7133,3.98,6.37,6.33,4174.0,56.0,62.7,1.0,7134.0
7134,4.01,6.43,6.5,4174.0,55.0,61.9,1.01,7135.0
7135,4.01,6.45,6.39,4175.0,62.0,62.5,1.04,7136.0
7136,3.99,6.49,6.46,4175.0,57.0,61.6,1.03,7137.0
7137,4.22,6.52,6.58,4176.0,56.0,64.4,1.13,7138.0
7138,4.01,6.39,6.36,4176.0,56.0,62.9,1.01,7139.0
7139,4.07,6.66,6.68,4177.0,60.0,61.0,1.11,7140.0
7140,3.82,6.67,6.6,4177.0,58.0,57.6,1.03,7141.0
7141,4.09,6.61,6.66,4177.0,61.0,61.6,1.11,7142.0
7142,4.22,6.81,6.85,4177.0,56.0,61.8,1.2,7143.0
7143,4.07,6.54,6.65,4177.0,63.0,61.7,1.11,7144.0
7144,3.89,6.07,6.12,4178.0,57.0,63.8,0.9,7145.0
7145,4.04,6.36,6.31,4179.0,60.0,63.8,1.01,7146.0
7146,3.89,6.29,6.25,4179.0,56.0,62.0,0.93,7147.0
7147,4.02,6.29,6.25,4179.0,60.0,64.1,1.02,7148.0
7148,3.77,6.33,6.38,4179.0,58.0,59.3,0.91,7149.0
7149,4.23,7.06,7.12,4179.0,57.0,59.7,1.28,7150.0
7150,3.68,5.96,5.93,4180.0,57.0,61.9,0.79,7151.0
7151,3.78,6.11,6.13,4181.0,59.0,61.8,0.9,7152.0
7152,4.03,6.5,6.44,4181.0,58.0,62.3,1.04,7153.0
7153,4.0,6.32,6.24,4181.0,60.0,63.7,1.0,7154.0
7154,4.3,6.68,6.75,4181.0,61.0,64.0,1.22,7155.0
7155,3.73,6.03,5.99,4181.0,57.0,62.1,0.83,7156.0
7156,3.72,6.14,6.11,4181.0,57.0,60.7,0.85,7157.0
7157,4.05,6.28,6.31,4181.0,59.0,64.3,1.01,7158.0
7158,3.99,6.11,6.23,4181.0,59.0,64.7,1.01,7159.0
7159,3.8,6.11,6.07,4182.0,60.0,62.4,0.9,7160.0
7160,3.57,5.8,5.77,4182.0,57.0,61.7,0.73,7161.0
7161,3.87,6.25,6.21,4182.0,56.0,62.1,0.94,7162.0
7162,3.85,6.54,6.49,4182.0,62.0,59.1,0.97,7163.0
7163,3.85,6.29,6.32,4182.0,59.0,61.1,0.93,7164.0
7164,3.79,6.19,6.34,4183.0,58.0,60.9,0.9,7165.0
7165,3.83,6.16,6.2,4183.0,55.0,62.0,0.9,7166.0
7166,3.85,6.25,6.29,4183.0,55.0,61.4,0.92,7167.0
7167,3.67,5.91,5.87,4183.0,54.0,62.3,0.78,7168.0
7168,3.9,6.16,6.18,4183.0,58.0,63.2,0.92,7169.0
7169,3.89,6.1,6.14,4183.0,58.0,63.6,0.91,7170.0
7170,3.73,6.24,6.3,4183.0,62.0,59.4,0.92,7171.0
7171,4.0,5.97,6.11,4183.0,55.0,66.2,0.9,7172.0
7172,3.9,6.11,6.14,4183.0,57.0,63.7,0.92,7173.0
7173,3.45,5.56,5.52,4184.0,56.0,62.3,0.65,7174.0
7174,3.88,6.5,6.45,4184.0,63.0,59.9,1.0,7175.0
7175,3.96,6.37,6.45,4185.0,58.0,61.8,1.01,7176.0
7176,3.89,6.58,6.62,4185.0,60.0,58.9,1.01,7177.0
7177,4.06,6.31,6.41,4185.0,53.0,63.8,1.01,7178.0
7178,4.04,6.35,6.39,4185.0,55.0,63.4,1.01,7179.0
7179,4.1,6.6,6.65,4185.0,55.0,61.9,1.11,7180.0
7180,4.02,6.35,6.37,4185.0,57.0,63.3,1.01,7181.0
7181,3.85,6.15,6.1,4186.0,58.0,62.9,0.9,7182.0
7182,3.81,6.26,6.2,4186.0,59.0,61.2,0.9,7183.0
7183,3.94,6.32,6.26,4186.0,60.0,62.6,0.96,7184.0
7184,3.89,6.55,6.49,4186.0,60.0,59.7,1.01,7185.0
7185,4.14,6.63,6.68,4186.0,57.0,62.2,1.15,7186.0
7186,4.18,6.75,6.78,4186.0,54.0,61.8,1.15,7187.0
7187,3.81,6.42,6.36,4187.0,59.0,59.6,0.96,7188.0
7188,3.89,6.14,6.1,4187.0,58.0,63.6,0.9,7189.0
7189,3.99,6.42,6.37,4187.0,58.0,62.4,1.01,7190.0
7190,3.89,6.17,6.1,4187.0,53.0,63.4,0.9,7191.0
7191,3.77,6.1,6.06,4187.0,62.0,62.0,0.9,7192.0
7192,3.92,6.17,6.13,4188.0,59.0,63.7,0.91,7193.0
7193,3.88,6.17,6.13,4188.0,60.0,63.1,0.91,7194.0
7194,3.77,6.12,6.1,4188.0,56.0,61.7,0.87,7195.0
7195,3.79,6.13,6.08,4189.0,58.0,62.1,0.87,7196.0
7196,4.03,6.36,6.31,4189.0,58.0,63.6,1.01,7197.0
7197,3.8,5.99,6.08,4189.0,57.0,63.0,0.85,7198.0
7198,4.01,6.41,6.37,4189.0,58.0,62.8,1.02,7199.0
7199,3.95,6.45,6.39,4189.0,61.0,61.5,1.01,7200.0
7200,3.88,6.45,6.48,4189.0,62.0,60.0,1.0,7201.0
7201,4.08,6.38,6.35,4190.0,57.0,64.1,1.04,7202.0
7202,3.66,6.34,6.3,4190.0,60.0,57.9,0.9,7203.0
7203,3.88,6.42,6.45,4191.0,59.0,60.3,1.01,7204.0
7204,3.83,6.13,6.07,4191.0,55.0,62.8,0.86,7205.0
7205,4.25,6.83,6.79,4191.0,58.0,62.4,1.21,7206.0
7206,3.89,6.17,6.12,4191.0,56.0,63.3,0.91,7207.0
7207,3.74,6.39,6.34,4191.0,59.0,58.8,0.91,7208.0
7208,3.86,6.22,6.19,4191.0,55.0,62.2,0.9,7209.0
7209,3.85,6.7,6.67,4191.0,63.0,57.6,1.04,7210.0
7210,4.06,6.31,6.37,4191.0,58.0,64.0,1.01,7211.0
7211,3.8,6.13,6.19,4191.0,59.0,61.7,0.9,7212.0
7212,4.05,6.37,6.41,4191.0,58.0,63.4,1.01,7213.0
7213,4.05,6.25,6.29,4191.0,55.0,64.6,1.01,7214.0
7214,3.92,6.32,6.35,4191.0,59.0,61.9,1.01,7215.0
7215,3.88,6.42,6.47,4191.0,56.0,60.2,1.01,7216.0
7216,3.93,6.4,6.45,4191.0,59.0,61.2,1.01,7217.0
7217,3.86,6.54,6.59,4191.0,62.0,58.8,1.01,7218.0
7218,3.78,6.48,6.54,4191.0,62.0,58.2,1.01,7219.0
7219,4.1,6.57,6.53,4192.0,59.0,62.6,1.1,7220.0
7220,4.32,6.81,6.75,4192.0,55.0,63.7,1.21,7221.0
7221,3.79,6.25,6.22,4192.0,56.0,60.8,0.89,7222.0
7222,4.08,6.42,6.49,4193.0,54.0,63.2,1.04,7223.0
7223,3.74,6.47,6.35,4193.0,59.0,58.3,0.91,7224.0
7224,3.9,6.13,6.09,4193.0,58.0,63.8,0.9,7225.0
7225,3.88,6.68,6.72,4193.0,58.0,57.9,1.04,7226.0
7226,3.98,6.58,6.61,4193.0,56.0,60.3,1.04,7227.0
7227,3.7,5.89,5.93,4193.0,58.0,62.6,0.8,7228.0
7228,4.08,6.38,6.41,4194.0,60.0,63.8,1.07,7229.0
7229,3.84,6.24,6.18,4194.0,56.0,61.8,0.9,7230.0
7230,3.88,6.23,6.17,4194.0,58.0,62.6,0.95,7231.0
7231,4.02,6.41,6.35,4194.0,54.0,63.0,1.01,7232.0
7232,3.84,6.14,6.21,4194.0,59.0,62.2,0.92,7233.0
7233,3.91,6.51,6.48,4194.0,59.0,60.2,1.01,7234.0
7234,3.83,6.09,5.98,4194.0,57.0,63.5,0.9,7235.0
7235,3.88,6.08,6.12,4194.0,58.0,63.6,0.9,7236.0
7236,4.04,6.47,6.53,4194.0,59.0,62.2,1.07,7237.0
7237,3.79,6.15,6.21,4194.0,59.0,61.3,0.9,7238.0
7238,4.06,6.8,6.76,4195.0,57.0,59.9,1.13,7239.0
7239,4.02,6.35,6.29,4195.0,58.0,63.6,1.01,7240.0
7240,3.88,6.48,6.45,4195.0,62.0,60.0,1.0,7241.0
7241,3.55,5.79,5.76,4196.0,58.0,61.5,0.73,7242.0
7242,4.08,6.61,6.65,4196.0,58.0,61.5,1.11,7243.0
7243,4.08,6.48,6.53,4196.0,57.0,62.7,1.06,7244.0
7244,4.12,6.63,6.67,4196.0,57.0,62.0,1.11,7245.0
7245,4.1,6.61,6.66,4196.0,58.0,61.8,1.11,7246.0
7246,3.91,6.52,6.59,4197.0,59.0,59.6,1.01,7247.0
7247,3.96,6.45,6.36,4197.0,57.0,61.8,1.0,7248.0
7248,4.06,6.5,6.46,4197.0,56.0,62.7,1.06,7249.0
7249,4.17,6.83,6.78,4197.0,60.0,61.3,1.18,7250.0
7250,3.94,6.44,6.48,4197.0,60.0,61.0,1.01,7251.0
7251,4.0,6.35,6.4,4197.0,56.0,62.7,1.01,7252.0
7252,4.04,6.34,6.37,4197.0,59.0,63.6,1.01,7253.0
7253,3.81,6.46,6.49,4197.0,62.0,58.8,1.01,7254.0
7254,4.01,6.26,6.29,4197.0,59.0,63.9,1.01,7255.0
7255,4.05,6.26,6.33,4197.0,59.0,64.3,1.01,7256.0
7256,3.95,6.48,6.52,4197.0,55.0,60.8,1.01,7257.0
7257,3.42,5.79,5.76,4198.0,59.0,59.2,0.7,7258.0
7258,4.06,6.92,6.98,4198.0,60.0,58.4,1.19,7259.0
7259,3.82,6.18,6.24,4198.0,56.0,61.5,0.9,7260.0
7260,4.0,6.46,6.49,4198.0,60.0,61.8,1.05,7261.0
7261,4.06,6.33,6.31,4199.0,58.0,64.2,1.01,7262.0
7262,4.06,6.52,6.47,4199.0,58.0,62.5,1.05,7263.0
7263,3.99,6.45,6.5,4199.0,56.0,61.6,1.03,7264.0
7264,3.83,6.25,6.17,4199.0,56.0,61.6,0.91,7265.0
7265,3.84,6.22,6.18,4199.0,56.0,61.9,0.91,7266.0
7266,4.32,6.81,6.87,4199.0,60.0,63.2,1.25,7267.0
7267,4.02,6.4,6.48,4199.0,57.0,62.4,1.03,7268.0
7268,3.9,6.46,6.53,4199.0,59.0,60.1,1.03,7269.0
7269,3.94,6.39,6.45,4200.0,56.0,61.4,1.0,7270.0
7270,4.07,6.6,6.53,4200.0,57.0,62.0,1.04,7271.0
7271,3.99,6.58,6.52,4200.0,58.0,60.9,1.04,7272.0
7272,4.0,6.57,6.5,4200.0,58.0,61.2,1.04,7273.0
7273,4.06,6.47,6.43,4200.0,58.0,62.9,1.04,7274.0
7274,4.01,6.3,6.37,4200.0,57.0,63.3,1.0,7275.0
7275,3.94,6.49,6.54,4200.0,59.0,60.5,1.0,7276.0
7276,4.02,6.29,6.33,4200.0,55.0,63.7,1.0,7277.0
7277,3.87,6.44,6.5,4200.0,57.0,59.8,1.0,7278.0
7278,3.96,6.31,6.33,4200.0,58.0,62.7,1.0,7279.0
7279,4.0,6.3,6.34,4200.0,58.0,63.3,1.0,7280.0
7280,3.96,6.28,6.4,4200.0,59.0,62.5,1.0,7281.0
7281,3.89,6.34,6.41,4200.0,62.0,61.0,1.0,7282.0
7282,3.97,6.3,6.34,4200.0,59.0,62.8,1.0,7283.0
7283,4.25,6.84,6.86,4200.0,61.0,62.0,1.25,7284.0
7284,4.2,6.91,6.97,4200.0,61.0,60.5,1.25,7285.0
7285,3.72,6.16,6.13,4201.0,63.0,60.5,0.9,7286.0
7286,3.89,6.71,6.59,4201.0,61.0,58.5,1.07,7287.0
7287,3.99,6.7,6.65,4201.0,60.0,59.8,1.07,7288.0
7288,3.98,6.67,6.61,4201.0,59.0,59.9,1.07,7289.0
7289,4.03,6.73,6.7,4201.0,60.0,60.0,1.1,7290.0
7290,3.77,6.33,6.26,4201.0,62.0,59.9,0.91,7291.0
7291,3.87,6.17,6.15,4201.0,58.0,62.8,0.91,7292.0
7292,3.84,6.23,6.18,4201.0,59.0,61.9,0.91,7293.0
7293,3.82,6.17,6.13,4201.0,59.0,62.1,0.9,7294.0
7294,3.79,6.24,6.2,4201.0,57.0,60.9,0.9,7295.0
7295,4.07,6.51,6.55,4201.0,56.0,62.3,1.05,7296.0
7296,4.29,6.67,6.73,4201.0,57.0,64.0,1.21,7297.0
7297,4.04,6.71,6.65,4202.0,59.0,60.5,1.1,7298.0
7298,4.07,6.69,6.63,4202.0,58.0,61.1,1.11,7299.0
7299,3.8,6.48,6.52,4202.0,61.0,58.5,1.0,7300.0
7300,4.04,6.32,6.35,4202.0,56.0,63.8,1.0,7301.0
7301,3.87,6.02,6.07,4203.0,58.0,64.0,0.9,7302.0
7302,4.14,6.81,6.94,4203.0,60.0,60.2,1.2,7303.0
7303,4.04,6.43,6.36,4204.0,59.0,63.2,1.05,7304.0
7304,3.93,6.36,6.32,4204.0,59.0,62.0,1.0,7305.0
7305,3.83,6.43,6.49,4204.0,58.0,59.3,0.96,7306.0
7306,3.86,6.2,6.24,4204.0,56.0,62.1,0.91,7307.0
7307,3.72,6.23,6.2,4205.0,54.0,59.9,0.84,7308.0
7308,3.53,5.75,5.72,4205.0,56.0,61.6,0.7,7309.0
7309,3.97,6.11,6.01,4205.0,57.0,65.5,0.91,7310.0
7310,4.09,6.19,6.33,4205.0,55.0,65.3,1.01,7311.0
7311,4.12,6.66,6.62,4206.0,59.0,62.0,1.13,7312.0
7312,3.97,6.63,6.68,4206.0,59.0,59.7,1.07,7313.0
7313,3.98,6.37,6.31,4207.0,57.0,62.8,1.0,7314.0
7314,3.95,6.51,6.46,4207.0,59.0,60.9,1.02,7315.0
7315,3.9,6.54,6.5,4207.0,59.0,59.8,1.02,7316.0
7316,3.93,6.57,6.53,4207.0,60.0,60.0,1.02,7317.0
7317,4.04,6.43,6.37,4207.0,59.0,63.1,1.02,7318.0
7318,4.01,6.51,6.47,4207.0,55.0,61.8,1.02,7319.0
7319,3.91,6.45,6.39,4207.0,59.0,60.9,1.01,7320.0
7320,3.3,5.43,5.4,4208.0,57.0,60.9,0.59,7321.0
7321,3.89,6.15,6.18,4208.0,62.0,63.1,1.01,7322.0
7322,3.99,6.22,6.26,4208.0,58.0,63.9,1.01,7323.0
7323,3.72,5.94,6.0,4209.0,58.0,62.3,0.81,7324.0
7324,3.99,6.41,6.45,4209.0,59.0,62.1,1.01,7325.0
7325,3.78,6.14,6.19,4209.0,60.0,61.3,0.9,7326.0
7326,3.77,6.21,6.29,4209.0,56.0,60.3,0.9,7327.0
7327,3.8,6.1,6.17,4209.0,58.0,61.9,0.9,7328.0
7328,3.38,5.4,5.42,4209.0,55.0,62.5,0.6,7329.0
7329,3.86,6.03,6.11,4209.0,60.0,63.6,0.91,7330.0
7330,3.86,6.07,6.15,4209.0,58.0,63.2,0.91,7331.0
7331,3.9,6.07,6.24,4209.0,54.0,63.4,0.91,7332.0
7332,3.84,6.17,6.13,4210.0,61.0,62.4,0.9,7333.0
7333,3.8,6.24,6.21,4210.0,60.0,61.0,0.9,7334.0
7334,3.75,6.19,6.14,4210.0,56.0,60.8,0.9,7335.0
7335,3.98,6.37,6.31,4210.0,61.0,62.8,1.01,7336.0
7336,3.75,6.08,6.06,4211.0,56.0,61.8,0.85,7337.0
7337,3.76,6.23,6.19,4211.0,61.0,60.5,0.91,7338.0
7338,3.78,6.12,6.1,4211.0,61.0,61.9,0.91,7339.0
7339,3.85,6.17,6.14,4211.0,58.0,62.6,0.91,7340.0
7340,3.85,6.23,6.11,4211.0,57.0,62.4,0.91,7341.0
7341,3.87,6.11,6.07,4211.0,57.0,63.5,0.91,7342.0
7342,4.01,6.34,6.26,4211.0,56.0,63.7,1.01,7343.0
7343,4.19,6.7,6.83,4211.0,58.0,61.8,1.18,7344.0
7344,4.01,6.43,6.36,4212.0,56.0,62.7,1.01,7345.0
7345,4.15,6.77,6.73,4212.0,57.0,61.5,1.14,7346.0
